Itr,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,AverageTrainReward,StdTrainReward,MinTrainReward,MaxTrainReward,EvalEpLen,TrainEpLen,TotalEnvInteracts,Time,Training loss,Entropy,KL Divergence,Search Direction,Step Size,BackTrack Itr,Improve,Baseline loss
84,88.526306,113.3831,-21.238186,252.40811,273.6582,4.1216154,266.75543,279.41934,258.2,259.625,182856,2.3461717049280804,-0.122801386,0.57668954,0.008529916,1.7520258e-06,0.49656767,0,0.045732044,0.3681824
85,148.7986,129.62589,-14.646961,285.134,276.78424,6.3117003,266.75568,286.29428,303.4,270.375,185019,2.372176432609558,0.053309448,0.6561857,0.006162467,-6.9023156e-07,0.8084379,0,0.025623849,0.3675695
86,95.82534,129.94652,-15.050484,275.6818,250.02719,71.38793,61.497604,282.1534,237.2,263.625,187128,2.391515119870504,-0.059760455,0.67334145,0.008656123,-1.8770601e-06,1.0624514,0,0.019079287,0.8227551
87,70.51375,150.21906,-58.750576,264.5425,287.99542,2.762526,283.50494,291.68814,246.0,258.75,189198,2.4114930272102355,0.073508985,0.6254692,0.0076527903,-4.800477e-06,0.887884,0,0.023721788,0.40480217
88,163.79796,101.54418,28.77678,263.61658,293.40695,3.6257098,286.57635,300.49576,272.0,263.25,191304,2.43288449048996,-0.06520237,0.6131716,0.0073468434,-3.6149527e-06,1.5179809,0,0.012247004,0.40917784
89,81.1061,106.10967,-57.758743,247.09576,287.09543,5.4326215,278.90894,298.7479,390.6,262.875,193407,2.470890955130259,-0.019686222,0.588585,0.0065464387,1.22162255e-05,1.007833,0,0.019551396,0.31317672
90,16.477686,110.620705,-66.25935,235.5889,283.6672,4.844414,277.06042,292.0227,208.8,278.125,195632,2.490246657530467,-0.010196039,0.55458635,0.0061753104,3.196553e-05,0.27985364,0,0.046242125,0.4354404
91,-49.8403,34.806797,-105.52954,-9.471947,285.51312,6.638504,276.26065,298.91208,186.4,276.25,197842,2.5059588670730593,-0.051528547,0.5827717,0.006487696,-3.563476e-05,0.667913,0,0.025747996,0.28278372
92,-2.291217,93.855316,-81.27658,180.219,289.7301,5.519553,282.48383,296.95007,233.0,273.375,200029,2.5248551885286967,0.020033073,0.562822,0.0069737267,1.1176729e-05,1.2667793,0,0.013900463,0.2862376
93,126.17505,140.14975,-87.23598,266.6303,288.5018,7.5877633,275.4694,297.3412,264.4,286.2857142857143,202033,2.546619729200999,-0.05190145,0.5513882,0.007775788,1.809327e-05,0.49889016,0,0.041328665,0.27957562
94,-32.471443,20.204632,-56.048355,4.1353836,285.59396,3.961003,280.317,291.27338,195.0,270.125,204194,2.5629544417063395,0.040161006,0.57983655,0.008177657,-1.3714822e-05,1.2881415,0,0.01631662,0.26938295
95,-31.215672,34.65097,-63.735737,32.813667,285.44604,6.036326,272.81555,292.5169,343.4,261.625,206287,2.591194705168406,0.0019384753,0.60894036,0.006714629,2.4972795e-05,0.4568904,1,0.022931283,0.21577583
96,-67.18061,30.967665,-106.36712,-21.52509,280.32404,13.239569,247.04059,291.84573,186.4,259.0,208359,2.6068441033363343,0.029670728,0.5593749,0.0064309584,1.4866223e-05,0.77752775,0,0.022048656,0.32006732
97,47.75035,162.56071,-93.4893,278.79428,279.70062,8.65915,265.0567,293.26797,234.6,256.75,210413,2.6256029764811197,0.029015487,0.56345487,0.0072253356,3.59249e-05,0.77564377,0,0.02438427,0.26618746
98,-38.987465,116.24794,-122.921265,189.66693,276.79962,5.869988,268.56104,287.16284,219.2,250.625,212418,2.643224755922953,0.021864248,0.54612976,0.0074720266,5.717563e-06,0.87885684,0,0.021691503,0.17774238
99,-97.087364,7.2035565,-108.18519,-89.61383,272.7486,8.346768,256.97543,287.26114,216.4,248.0,214650,2.6595296899477643,0.059995756,0.5256169,0.0077640866,-3.2735763e-05,1.0055702,0,0.025535673,0.2688783
100,86.74791,154.97957,-107.33165,233.90932,271.06747,15.337212,241.06747,290.00708,258.8,268.0,216794,2.682671642303467,-0.10666497,0.5051538,0.007913892,-4.9987935e-05,0.8286164,0,0.028182074,0.4680704
101,-55.143196,65.35515,-127.17473,54.113144,287.15955,8.623823,274.66754,301.05203,218.2,246.33333333333334,219011,2.7000057776769,-0.16735199,0.5226271,0.0070865033,-2.2365934e-05,0.84643483,0,0.023329288,0.40408006
102,87.85874,144.35266,-58.69532,266.11862,284.89563,7.133821,268.91852,294.7451,209.2,245.44444444444446,221220,2.716855482260386,0.025011977,0.54044026,0.008613456,2.5108331e-05,0.8408676,0,0.027262747,0.24320106
103,68.77061,141.57205,-72.25772,265.79205,284.00775,7.01426,269.8662,291.83276,226.4,246.88888888888889,223442,2.7351518710454306,0.055936806,0.5236542,0.0074240267,3.750439e-05,0.7341382,0,0.02683481,0.23085025
104,105.170166,136.07368,-64.57907,264.71997,279.64914,2.6833751,275.05167,283.84055,291.2,231.22222222222223,225523,2.7579037110010782,-0.019491116,0.5165677,0.0068229563,-1.1079904e-05,1.2651876,0,0.014571654,0.15552424
105,126.40871,130.6866,-48.38124,262.43304,283.98654,5.49088,275.50824,292.20294,260.4,237.44444444444446,227660,2.778641132513682,0.016159682,0.51863563,0.009213867,1.7970531e-05,1.0297147,0,0.021985559,0.1968921
106,103.79329,103.26646,-54.99968,211.22388,283.49997,5.733123,274.15234,294.31476,284.4,235.0,229775,2.8004108627637225,-0.024910526,0.48635995,0.0074260663,-3.631238e-05,0.7099512,0,0.02728291,0.22940153
107,56.44566,111.44849,-45.39411,262.501,291.09943,4.004912,284.13345,295.86,384.6,234.44444444444446,231885,2.8288525025049847,-0.053377055,0.47035775,0.00575549,-1.6149614e-05,1.9250687,0,0.01034417,0.13573478
108,129.68137,123.74655,-52.59745,250.38217,291.74496,5.8203855,284.53473,303.76593,285.8,237.0,234018,2.8510851740837095,-0.016541608,0.3799057,0.006971781,0.00011435911,0.25102463,0,0.036219254,0.21071202
109,33.922142,118.41933,-84.58631,261.77383,291.68918,3.8133838,284.38855,296.26672,209.4,241.44444444444446,236191,2.8681772470474245,0.007723379,0.40296635,0.0063910047,-1.4922569e-05,0.8145599,0,0.023395598,0.30517378
110,37.75354,117.63701,-64.71432,268.37396,267.6921,68.9684,73.06566,300.80377,205.8,232.11111111111111,238280,2.8846943577130637,-0.08327512,0.39950415,0.0068630264,-2.9260202e-05,1.0546572,0,0.018788345,0.60729164
111,15.17058,102.513115,-69.7848,211.50897,294.86453,4.595916,286.962,302.6267,222.2,232.33333333333334,240371,2.902063540617625,-0.11220899,0.4549188,0.007847987,-1.5459525e-05,0.80681777,0,0.024329886,0.14981222
112,135.91998,151.49324,-65.90465,269.84302,289.45404,6.5120707,277.39496,299.17978,228.8,240.11111111111111,242532,2.919486141204834,0.015497208,0.3967468,0.0080299,5.862732e-06,1.0354761,0,0.019354276,0.23211281
113,15.159487,43.781868,-29.728317,94.750275,294.76544,5.394869,285.9124,301.97745,338.0,221.2,244744,2.946653187274933,-0.005001974,0.37745425,0.00793847,-2.7807298e-05,0.6457589,0,0.033520672,0.18379109
114,12.2006855,92.52327,-54.832973,193.23137,295.25372,5.997757,285.94937,305.47952,219.6,214.8,246892,2.9631955067316693,-0.024003433,0.39071807,0.007419717,1.0741509e-05,1.0403872,0,0.017524363,0.28799555
115,-19.313526,24.189814,-44.186592,11.606709,296.41162,3.2581515,290.43164,301.95227,207.2,197.0,249059,2.9803849856058755,0.02703209,0.34763357,0.0059128776,4.2993535e-05,1.2062253,0,0.01482944,0.19412334
116,27.805395,95.64311,-34.52597,218.18063,289.79974,2.581306,286.27197,294.72006,249.4,201.0,251069,2.998838969071706,-0.07650055,0.33932197,0.0071679438,-7.338986e-05,0.472639,0,0.06275146,0.24168861
117,103.94163,134.57458,-23.076912,274.33142,266.0789,62.270176,80.00021,295.3833,215.2,212.9,253198,3.015592555205027,-0.020351065,0.35324934,0.007323757,-2.0420584e-06,1.2843851,0,0.0130280275,0.78749037
